Year,Month,Day
1980,1,1
1981,2,2
1982,3,3
1983,4,4
1984,5,5
1985,6,6
1986,7,7
1987,8,8
1988,9,9
1989,10,10
1990,11,11
1991,12,12
1992,,13
1993,,14
1994,,15
1995,,16
1996,,17
1997,,18
1998,,19
1999,,20
2000,,21
2001,,22
2002,,23
2003,,24
2004,,25
2005,,26
2006,,27
2007,,28
2008,,29
2009,,30
2010,,31
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2024,,
2025,,
2026,,
2027,,
2028,,
2029,,
2030,,
2031,,
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,,
2041,,
2042,,
2043,,
2044,,
2045,,
2046,,
2047,,
2048,,
2049,,
2050,,
